drug,chirality,alogp,aromatic rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy atoms,acid,base,neutral,zwitterion,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,oral administration,parentreral,topical,prodrug
diazepam,2,3.15,2,3.08,3.08,0,2.92,284.75,2,3,0,0,20,0,0,1,0,284.75,284.0716,0,0,32.67,0.79,0,1,1,1,1,0
metoprolol succinate er tablets,0,1.61,1,-0.47,1.76,0,9.67,267.37,4,4,2,2,19,0,1,0,0,267.37,267.1834,0,0,50.72,0.71,0,9,1,1,0,0
chembl411,2,4.83,2,5.17,5.19,8.63,0,268.36,2,2,2,2,20,0,0,1,0,268.36,268.1463,0,0,40.46,0.78,0,4,1,1,1,0
chembl267936,0,2.42,0,-0.67,2.37,0,10.88,167.3,1,1,1,1,12,0,1,0,0,167.3,167.1674,0,0,12.03,0.63,1,1,1,0,0,0
chembl14,2,-0.21,0,-4.55,-4.55,0,0,182.65,2,4,1,2,10,0,0,1,0,147.2,147.1128,0,0,52.32,0.56,1,3,0,1,0,0
phenytoin sodium,2,1.97,2,1.07,2.63,5.86,0,252.27,2,4,2,2,19,1,0,0,0,252.27,252.0899,0,0,61.69,0.86,0,2,1,0,0,0
sirolimus,1,6.18,0,7.45,7.45,9.96,0,914.19,13,14,3,3,65,0,0,1,0,914.19,913.5551,3,3,195.43,0.16,0,6,1,0,0,0
tacrolimus,1,4.64,0,5.59,5.59,9.96,0,804.03,12,13,3,3,57,0,0,1,0,804.03,803.482,2,2,178.36,0.18,0,7,1,1,1,0
clomipramine hydrochloride capsules,2,4.53,2,3.09,4.88,0,9.2,314.86,2,2,0,0,22,0,1,0,0,314.86,314.155,0,0,6.48,0.82,0,4,1,0,0,0
methoxsalen,2,2.55,3,1.78,1.78,0,0,216.19,4,4,0,0,16,0,0,1,0,216.19,216.0423,0,0,52.58,0.59,0,1,1,1,1,0
dichlorphenamide,2,0.29,1,0.29,0.39,7.94,0,305.16,4,6,2,4,16,0,0,1,0,305.16,303.9146,0,0,120.32,0.82,0,2,1,0,0,0
chembl18,2,1.34,2,1.39,1.6,7.51,0,258.32,5,5,1,2,16,0,0,1,0,258.32,258.0133,0,0,82.28,0.9,0,3,1,0,0,0
epirubicin hydrochloride ,1,0,2,0.1,0.53,8,9.03,543.53,12,12,6,7,39,0,1,0,0,543.53,543.1741,3,3,206.07,0.24,0,5,0,1,0,0
methazolamide,2,-1.42,1,-0.93,-0.59,7.21,0,236.28,6,7,1,2,14,0,0,1,0,236.28,236.0038,0,0,107.41,0.64,0,1,1,0,0,0
acetazolamide,2,-0.86,1,-2.08,-1.04,6.55,0,222.25,6,7,2,3,13,0,0,1,0,222.25,221.9881,0,0,115.04,0.63,0,2,1,1,0,0
chembl419,2,-0.21,1,-1.96,-0.52,10.25,9.04,186.24,3,4,2,4,12,0,1,0,0,186.24,186.0463,0,0,86.18,0.67,0,2,0,0,1,0
chembl21,2,-0.08,1,-0.25,-0.25,10.99,2.27,172.21,3,4,2,4,11,0,0,1,0,172.21,172.0306,0,0,86.18,0.58,0,1,0,0,1,0
chembl420,2,1.81,1,1.34,2.18,0,8.18,231.09,2,4,3,4,14,0,0,1,0,231.09,230.0126,0,0,74.26,0.41,0,2,1,0,0,0
polymyxin b sulfate- trimethoprim sulfate,2,1.26,2,1.1,1.28,0,7.16,290.32,7,7,2,4,21,0,0,1,0,290.32,290.1379,0,0,105.51,0.85,0,5,1,1,1,0
chembl6966,0,5.09,2,2.79,5.04,0,9.68,454.61,6,6,0,0,33,0,1,0,0,454.61,454.2832,1,1,63.95,0.42,0,13,1,1,0,0
sulfasalazine,2,3.7,3,0.25,4.25,3.23,0.55,398.4,7,9,3,3,28,1,0,0,0,398.4,398.0685,0,0,141.31,0.54,0,6,1,0,0,1
chembl6466,2,1.79,2,1.78,1.78,0,0,146.14,2,2,0,0,11,0,0,0,0,146.14,146.0368,0,0,30.21,0.53,1,0,0,0,0,0
diltiazem hydrochloride extended-release tablets,1,3.37,2,1.89,2.73,12.86,8.18,414.53,6,6,0,0,29,0,0,1,0,414.53,414.1613,0,0,59.08,0.68,0,6,1,1,0,0
chembl24,0,0.45,1,-1.8,0.43,0,9.67,266.34,4,5,3,4,19,0,1,0,0,266.34,266.163,0,0,84.58,0.64,0,8,1,1,0,0
acetylsalicylic acid,2,1.31,1,-2.16,1.24,3.41,0,180.16,3,4,1,1,13,1,0,0,0,180.16,180.0423,0,0,63.6,0.55,0,2,1,0,0,0
trifluoperazine,2,4.95,2,3.97,4.66,0,7.99,407.51,4,3,0,0,28,0,0,1,0,407.51,407.1643,0,0,9.72,0.71,0,4,1,1,0,0
chembl26,0,0.56,1,-0.7,0.22,10.24,8.39,341.43,5,7,2,3,23,0,0,1,0,341.43,341.1409,0,0,101.73,0.79,0,6,0,0,0,0
betaxolol,0,2.39,1,0.31,2.54,0,9.67,307.43,4,4,2,2,22,0,1,0,0,307.43,307.2147,0,0,50.72,0.62,0,11,1,0,1,0
salicylic acid,2,1.09,1,-1.52,1.98,2.79,0,138.12,2,3,2,2,10,1,0,0,0,138.12,138.0317,0,0,57.53,0.61,1,1,0,0,0,0
chembl425,2,2.91,2,-2.49,4.39,2.93,0,302.24,6,8,4,4,22,1,0,0,0,302.24,302.0539,0,0,139.78,0.64,0,4,1,0,0,1
propranolol,0,2.58,2,0.36,2.58,0,9.67,259.35,3,3,2,2,19,0,1,0,0,259.35,259.1572,0,0,41.49,0.84,0,6,1,1,0,0
chembl6995,0,1.38,1,-1.39,0.83,0,9.67,266.34,4,5,3,3,19,0,1,0,0,266.34,266.163,0,0,70.59,0.7,0,7,0,0,0,0
chembl427,2,1.4,0,1.5,1.52,0,6.08,156.06,1,1,0,0,8,0,0,1,0,156.06,155.0269,0,0,3.24,0.56,0,4,0,1,1,0
penicillin g,1,0.86,1,-2.29,1.08,3.53,0,334.4,4,6,2,2,23,1,0,0,0,334.4,334.0987,0,0,86.71,0.8,0,4,1,1,0,0
chembl428,1,1.89,3,0.14,0.14,5.22,9.44,416.36,6,7,2,3,30,0,0,0,1,416.36,416.1096,0,0,101.45,0.68,0,3,0,0,0,0
chembl30,2,0.6,1,-0.22,-0.11,13.38,6.91,252.35,4,6,3,3,17,0,0,1,0,252.35,252.1157,0,0,88.89,0.23,0,5,1,1,0,0
gatifloxacin,0,1.98,2,-0.61,-0.61,5.49,8.73,375.4,6,7,2,2,27,0,0,0,1,375.4,375.1594,0,0,83.8,0.85,0,4,1,1,1,0
labetalol,0,2.14,2,1.26,1.89,8.05,9.8,328.41,4,5,4,5,24,0,1,0,0,328.41,328.1787,0,0,95.58,0.6,0,8,1,1,0,0
moxifloxacin,1,2.37,2,-0.5,-0.5,5.49,9.42,401.44,6,7,2,2,29,0,0,0,1,401.44,401.1751,0,0,83.8,0.82,0,4,1,1,1,0
chembl33,1,1.54,2,-0.47,0.51,5.29,6.16,361.37,6,7,1,1,26,1,0,0,0,361.37,361.1438,0,0,75.01,0.87,0,2,1,1,1,0
chembl430,0,0.97,2,-0.91,-0.91,5.35,9.23,389.39,8,9,2,3,28,0,0,0,1,389.39,389.1499,0,0,123.04,0.73,0,5,1,0,0,0
chembl431,1,2.39,1,-0.03,1.6,3.62,5.2,466.63,7,7,2,2,31,1,0,0,0,466.63,466.1596,0,0,95.94,0.54,0,9,1,0,0,1
chembl433,2,2.29,0,0.56,2.8,5.14,0,166.2,1,2,1,1,10,1,0,0,0,144.21,144.115,0,0,37.3,0.64,0,5,0,1,0,0
isoproterenol hydrochloride,0,1.13,1,-0.99,0.24,9.81,8.96,211.26,4,4,4,4,15,0,1,0,0,211.26,211.1208,0,0,72.72,0.56,0,4,0,1,1,0
hydrochlorothiazide,2,-0.35,1,-0.58,-0.58,9.09,0,297.75,5,7,3,4,17,0,0,1,0,297.75,296.9645,0,0,118.36,0.65,0,1,1,0,0,0
furosemide,2,1.89,2,-1.25,1.75,4.25,0,330.75,5,7,3,4,21,1,0,0,0,330.75,330.0077,0,0,122.63,0.77,0,5,1,1,0,0
pyrimethamine,2,2.52,2,2.23,2.75,0,7.77,248.72,4,4,2,4,17,0,0,1,0,248.72,248.0829,0,0,77.82,0.86,0,2,1,0,0,0
chembl436,2,3.56,2,0.16,3.35,3.95,0,357.35,3,4,1,1,24,1,0,0,0,357.35,357.0646,0,0,49.77,0.85,0,4,0,0,0,0
chembl437,2,1.53,2,0.5,0.98,6.93,2.04,255.32,5,5,2,3,16,0,0,1,0,255.32,255.0136,0,0,85.08,0.81,0,3,0,0,1,0
chembl438,2,1.17,2,0.08,0.52,6.99,2,264.31,5,6,2,3,18,0,0,1,0,264.31,264.0681,0,0,97.97,0.81,0,3,1,0,0,0
silver sulfadiazine,2,0.86,2,-0.05,0.39,6.99,2.01,250.28,5,6,2,3,17,0,0,1,0,250.28,250.0524,0,0,97.97,0.79,0,3,1,1,1,0
chembl440,0,1.93,0,2.25,2.91,6.66,0,254.35,2,4,2,1,17,0,0,1,0,254.35,254.1089,0,0,58.53,0.45,0,5,0,1,0,0
chembl441,0,1.35,0,2.38,2.78,7.2,0,242.34,3,4,2,2,16,0,0,1,0,242.34,242.1089,0,0,58.2,0.58,0,4,0,0,1,0
chembl268164,2,1.25,0,1.03,1.47,7.14,0,236.27,3,5,2,2,17,0,0,1,0,236.27,236.1161,0,0,75.27,0.56,0,2,0,0,0,0
ergotamine tartrate- caffeine,1,1.99,3,2.17,2.6,9.69,7.78,581.67,6,10,3,3,43,0,0,1,0,581.67,581.2638,1,1,118.21,0.43,0,4,1,0,1,0
tretinoin,2,5.6,0,2.42,5.01,4.76,0,300.44,1,2,1,1,22,1,0,0,0,300.44,300.2089,1,1,37.3,0.53,0,5,1,0,1,0
chembl7413,0,1.31,0,2.12,2.29,7.73,0,262.31,3,5,1,1,19,0,0,1,0,262.31,262.1317,0,0,66.48,0.47,0,3,0,1,0,0
phenobarbital,2,0.7,1,0.96,1.41,7.14,0,232.24,3,5,2,2,17,0,0,1,0,232.24,232.0848,0,0,75.27,0.74,0,2,0,0,0,0
fluoxetine,0,4.44,2,1.83,4.17,0,9.8,309.33,2,2,1,1,22,0,1,0,0,309.33,309.134,0,0,21.26,0.85,0,6,1,0,0,0
chembl443,2,1.37,2,0,0.79,6.16,1.97,253.28,5,6,2,3,17,1,0,0,0,253.28,253.0521,0,0,98.22,0.8,0,3,1,1,0,0
chembl444,2,0.16,0,0.46,0.72,7.48,0,184.19,3,5,2,2,13,0,0,1,0,184.19,184.0848,0,0,75.27,0.6,0,2,0,0,0,0
clozapine,2,3.72,2,3.12,3.4,0,7.35,326.83,4,4,1,1,23,0,0,1,0,326.83,326.1298,0,0,30.87,0.8,0,0,1,0,0,0
chembl445,2,3.83,2,1.58,4.43,0,10.47,263.38,1,1,1,1,20,0,1,0,0,263.38,263.1674,0,0,12.03,0.83,0,3,1,0,0,0
chembl446,2,1.48,2,0.21,0.65,6.99,2,278.34,5,6,2,3,19,0,0,1,0,278.34,278.0837,0,0,97.97,0.83,0,3,1,0,0,0
chembl447,0,1.35,0,1.77,2.03,7.48,0,238.29,3,5,2,2,17,0,0,1,0,238.29,238.1317,0,0,75.27,0.56,0,5,1,1,1,0
chembl448,0,1.18,0,1.64,1.89,7.48,0,226.28,3,5,2,2,16,0,0,1,0,226.28,226.1317,0,0,75.27,0.71,0,4,1,1,1,0
amobarbital sodium,0,1.39,0,-1.27,2.26,1.03,0,226.28,2,5,2,2,16,1,0,0,0,226.28,226.1317,0,0,78.76,0.71,0,4,0,0,0,0
chembl449,0,0.79,0,1.19,1.45,7.48,0,212.25,3,5,2,2,15,0,0,1,0,212.25,212.1161,0,0,75.27,0.68,0,3,1,0,0,0
chembl450,2,0.5,0,0.78,0.94,7.75,0,198.22,3,5,1,1,14,0,0,1,0,198.22,198.1004,0,0,66.48,0.66,0,2,1,0,0,0
chlordiazepoxide,2,2.95,2,1.81,0.19,-2.69,7.06,299.76,3,4,1,1,21,1,0,0,0,299.76,299.0825,0,0,50.46,0.65,1,1,1,1,0,0
clonazepam,2,3.04,2,3.15,3.15,11.65,1.89,315.72,4,6,1,1,22,0,0,1,0,315.72,315.0411,0,0,84.6,0.68,0,2,1,0,0,0
chembl453,2,1.67,2,-0.14,0.73,5.8,2.17,267.31,5,6,2,3,18,1,0,0,0,267.31,267.0678,0,0,98.22,0.82,0,3,1,0,0,0
chembl268869,2,0.87,2,-0.05,0.47,6.84,2.02,280.31,6,7,2,3,19,0,0,1,0,280.31,280.063,0,0,107.2,0.8,0,4,0,0,0,0
chembl454,2,0.96,0,1.33,1.59,7.48,0,224.26,3,5,2,2,16,0,0,1,0,224.26,224.1161,0,0,75.27,0.55,0,4,1,0,0,0
sulfacetamide sodium- sulfur,2,0.09,1,-1.2,-0.26,4.3,2.14,214.25,4,5,2,3,14,1,0,0,0,214.25,214.0412,0,0,89.26,0.68,0,2,0,0,1,0
chembl43,2,4.51,4,2.16,3.16,10.82,8.44,393.47,5,6,2,2,28,0,0,1,0,393.47,393.1147,0,0,80.32,0.49,0,5,0,0,0,0
ethacrynic acid,2,3.61,1,0.16,3.66,2.8,0,303.14,3,4,1,1,19,1,0,0,0,303.14,302.0113,0,0,63.6,0.64,0,6,1,1,0,0
gemfibrozil,2,3.57,1,1.51,4.39,4.42,0,250.34,2,3,1,1,18,1,0,0,0,250.34,250.1569,0,0,46.53,0.78,0,6,1,0,0,0
chembl45,2,1.86,2,1.15,1.15,0,0,232.28,2,4,2,2,17,0,0,1,0,232.28,232.1212,0,0,54.12,0.84,0,4,0,0,0,0
leucine- phenylalanine- lysine hydrochloride- methionine- isoleucine- valine- histidine- threonine- tryptophan- alanine- glycine- arginine- proline- tyrosine- serine,1,-0.47,0,-4.98,-3.21,2.74,10.29,146.19,3,4,3,5,10,0,0,0,1,146.19,146.1055,0,0,89.34,0.46,0,5,0,0,0,0
chembl266510,1,4.53,2,4.23,4.23,11.56,0,359.71,2,3,1,1,24,0,0,1,0,359.71,359.0336,0,0,38.33,0.8,0,2,0,0,0,0
ondansetron hydrochloride,0,3.13,3,2.11,2.35,0,7.34,293.37,4,4,0,0,22,0,0,1,0,293.37,293.1528,0,0,39.82,0.73,0,2,1,1,0,0
buspirone,2,2.09,1,1.35,1.78,0,7.62,385.51,6,7,0,0,28,0,0,1,0,385.51,385.2478,0,0,69.64,0.55,0,6,1,0,0,0
chembl51,2,2.42,3,3.36,3.61,11.82,7.29,395.43,5,6,1,1,29,0,0,1,0,395.43,395.1645,0,0,75.17,0.67,0,5,0,0,0,0
methyldopa,1,0.44,1,-1.37,-1.36,1.73,9.85,211.22,4,5,4,5,15,0,0,0,1,211.22,211.0845,0,0,103.78,0.54,0,3,1,0,0,0
chembl460,0,1.96,1,1.96,2.04,0,6.65,276.38,3,4,1,1,20,0,0,1,0,276.38,276.1838,0,0,45.33,0.92,1,3,1,0,0,0
chembl53,1,2.85,2,2.58,2.88,9.26,7.72,267.33,3,3,2,2,20,0,0,1,0,267.33,267.1259,0,0,43.7,0.72,1,0,0,1,0,0
chembl54,2,4.43,2,2.93,3.66,13.96,8.05,375.87,3,3,1,1,26,0,0,1,0,375.87,375.1401,0,0,40.54,0.76,0,6,1,0,0,0
pentamidine isethionate ,2,2.88,2,-2.5,2.32,0,12.13,340.43,4,6,4,6,25,0,1,0,0,340.43,340.1899,1,0,118.2,0.3,0,10,0,1,1,0
chembl464,2,5.65,1,6.32,6.32,0,0,354.49,3,3,0,0,26,0,0,1,0,354.49,354.2195,1,1,35.53,0.36,0,7,1,0,0,0
chembl57,2,2.65,2,2.49,2.49,0,3.28,266.3,4,5,1,1,20,0,0,1,0,266.3,266.1168,0,0,58.12,0.86,0,1,1,0,0,0
dronabinol,1,5.74,1,5.94,5.94,9.34,0,314.47,2,2,1,1,23,0,0,1,0,314.47,314.2246,1,1,29.46,0.57,0,4,1,0,0,0
mitoxantrone,2,-0.14,2,-1.09,0.75,8.21,9.22,444.49,10,10,8,8,32,0,1,0,0,444.49,444.2009,1,1,163.18,0.14,0,12,0,1,0,0
dopamine hydrochloride in dextrose,2,0.6,1,-1.45,0.03,10.01,9.27,153.18,3,3,3,4,11,0,1,0,0,153.18,153.079,0,0,66.48,0.54,0,2,0,1,0,0
hydroxyurea,2,-0.96,0,-1.37,-1.37,10.14,0,76.05,2,4,3,4,5,0,0,1,0,76.05,76.0273,0,0,75.35,0.26,0,0,1,0,0,0
podofilox,1,2.41,2,1.62,1.62,0,0,414.41,8,8,1,1,30,0,0,1,0,414.41,414.1315,0,0,92.68,0.76,0,4,0,0,1,0
isoniazid,2,-0.31,1,-0.69,-0.69,13.61,3.35,137.14,3,4,2,3,10,0,0,1,0,137.14,137.0589,0,0,68.01,0.32,0,1,1,1,0,1
thalidomide,0,0.09,1,0.02,0.02,11.59,0,258.23,4,6,1,1,19,0,0,1,0,258.23,258.0641,0,0,83.55,0.72,0,1,1,0,0,0
chembl469,0,2.29,2,-0.96,2.28,3.84,0,255.27,3,4,1,1,19,1,0,0,0,255.27,255.0895,0,0,59.3,0.86,1,3,1,1,1,0
chembl9194,1,4.69,2,1.71,1.76,3.02,8.17,510.63,6,8,1,1,37,1,0,0,0,510.63,510.273,1,1,88.54,0.44,0,12,0,0,0,0
sotalol hydrochloride tables af,0,1.09,1,-2.12,-0.4,10.07,9.43,272.37,4,5,3,3,18,0,1,0,0,272.37,272.1195,0,0,78.43,0.72,0,6,1,1,0,0
chembl472,2,3.64,2,2.85,3.79,4.32,0,494.01,5,8,3,3,33,1,0,0,0,494.01,493.1438,0,0,113.6,0.52,0,8,1,0,0,0
dofetilide,2,1.98,2,-1.05,0.24,10.15,8.99,441.58,6,8,2,2,29,0,1,0,0,441.58,441.1392,0,0,104.81,0.55,0,11,1,0,0,0
dacarbazine,2,0.07,1,-1.05,-0.43,6.64,1.72,182.19,4,7,2,3,13,0,0,1,0,182.19,182.0916,0,0,99.73,0.51,0,3,0,1,0,0
adenosine,1,-1.98,2,-2.09,-2.09,12.45,3.94,267.25,9,9,4,5,19,0,0,1,0,267.25,267.0968,0,0,139.54,0.49,0,2,0,1,0,0
chembl479,0,5.89,2,3.93,5.47,0,8.93,370.59,4,2,0,0,25,0,1,0,0,370.59,370.1537,1,1,6.48,0.62,0,4,1,0,0,0
lansoprazole,0,3.52,3,3.03,3.03,9.35,4.16,369.37,4,5,1,1,25,0,0,1,0,369.37,369.0759,0,0,67.87,0.75,0,5,1,1,0,0
irinotecan hydrochloride,1,4.09,3,0.72,2.78,11.71,9.47,586.69,9,10,1,1,43,0,1,0,0,586.69,586.2791,1,1,114.2,0.36,0,4,0,1,0,1
chembl70,1,1.2,1,-0.6,0.9,10.26,9.12,285.34,4,4,2,2,21,0,1,0,0,285.34,285.1365,0,0,52.93,0.7,0,0,1,1,0,0
codeine sulfate,1,1.5,1,-0.45,1.34,13.78,9.19,299.37,4,4,1,1,22,0,1,0,0,299.37,299.1521,0,0,41.93,0.8,0,1,1,0,0,0
chlorpromazine,2,4.89,2,2.74,4.54,0,9.2,318.87,3,2,0,0,21,0,1,0,0,318.87,318.0957,0,0,6.48,0.79,0,4,1,1,1,0
chembl72,2,3.53,2,1.37,3.9,0,10.02,266.39,2,2,1,1,20,0,1,0,0,266.39,266.1783,0,0,15.27,0.85,0,4,1,0,0,0
chembl488,0,1.35,1,1.3,1.3,11.69,4.28,232.28,3,4,2,3,17,0,0,1,0,232.28,232.1212,0,0,72.19,0.6,0,2,1,0,0,0
chembl489,2,5.7,3,4.67,5.69,9.45,8.66,387.52,3,3,1,1,29,0,1,0,0,387.52,387.2198,1,1,32.7,0.5,0,8,0,0,0,0
cromolyn sodium,2,2.11,4,-5.57,1.48,1.55,0,512.33,9,11,3,3,34,1,0,0,0,468.37,468.0693,1,0,173.71,0.35,0,8,1,0,1,0
chembl76,0,4.81,2,0.88,3.93,0,10.32,319.88,3,3,1,1,22,0,1,0,0,319.88,319.1815,0,0,28.16,0.76,0,8,1,1,0,0
paroxetine,1,3.33,2,0.83,3.15,0,9.77,329.37,4,4,1,1,24,0,1,0,0,329.37,329.1427,0,0,39.72,0.93,0,4,1,0,0,0
chembl416146,2,4.18,3,2.79,2.79,0,4.96,358.85,4,4,0,0,24,0,0,1,0,358.85,358.0543,0,0,59.92,0.7,0,3,0,0,0,0
methylprednisolone acetate- lidocaine hydrochloride- povidine iodine- isopropyl alcohol,2,2.58,1,2.33,2.84,13.78,7.75,234.34,2,3,1,1,17,0,0,1,0,234.34,234.1732,0,0,32.34,0.85,0,5,1,1,1,0
chembl10188,1,5.49,4,6.16,6.25,8.03,2.73,382.46,3,4,2,2,29,0,0,1,0,382.46,382.1681,1,1,62.22,0.48,0,5,0,0,0,0
chembl9967,2,1.56,2,0.76,0.97,0,7.2,351.41,5,7,1,1,26,0,0,1,0,351.41,351.1695,0,0,68.78,0.89,0,2,0,0,0,0
chembl9960,1,5.78,4,5.9,5.9,0,2.18,366.46,2,3,1,1,28,0,0,1,0,366.46,366.1732,1,1,41.99,0.49,0,5,0,0,0,0
chembl492,0,3.75,1,3.25,4.46,13.62,8.59,276.42,2,3,1,1,20,0,1,0,0,276.42,276.2202,0,0,32.34,0.82,0,7,0,1,0,0
buprenorphine hydrochloride- naloxone hydrochloride,1,1.3,1,1.04,1.62,10.07,7.84,327.38,5,5,2,2,24,0,0,1,0,327.38,327.1471,0,0,70,0.8,0,2,1,1,1,0
raloxifene,2,6.08,4,5.34,5.69,8.89,7.95,473.59,6,5,2,2,34,0,0,1,0,473.59,473.1661,1,1,70,0.32,0,7,1,0,0,0
tamoxifen citrate,2,6,3,4.97,6.35,0,8.76,371.52,2,2,0,0,28,0,1,0,0,371.52,371.2249,1,1,12.47,0.45,0,8,1,0,0,1
chembl493,1,3.19,2,3.8,3.89,9.69,6.71,654.61,6,10,3,3,43,0,0,1,0,654.61,653.2213,1,1,118.21,0.46,0,5,1,0,0,0
iloprost,0,3.54,0,0.89,3.56,4.66,0,360.49,3,4,3,3,26,1,0,0,0,360.49,360.2301,0,0,77.76,0.35,0,8,0,0,1,0
topotecan,1,1.85,3,-0.91,-0.33,8,9.75,421.45,8,8,2,2,31,0,1,0,0,421.45,421.1638,0,0,104.89,0.49,0,3,1,1,0,0
chembl85,2,3.59,3,1.25,2.63,0,8.76,410.49,6,6,0,0,30,0,1,0,0,410.49,410.2118,0,0,64.16,0.66,0,4,1,1,0,0
chembl428880,2,2.11,4,-5.57,1.48,1.55,0,468.37,9,11,3,3,34,1,0,0,0,468.37,468.0693,1,0,173.71,0.35,0,8,1,0,1,0
metoclopramide,2,2,1,-0.25,1.4,0,9.04,299.8,4,5,2,3,20,0,1,0,0,299.8,299.1401,0,0,67.59,0.76,0,7,1,1,0,0
paclitaxel,1,3.74,3,3.54,3.54,11.9,0,853.92,14,15,4,4,62,0,0,1,0,853.92,853.331,2,2,221.29,0.13,0,10,0,1,0,0
chembl495,1,3.48,0,0.66,3.59,4.35,0,354.49,4,5,3,3,25,1,0,0,0,354.49,354.2406,0,0,94.83,0.35,0,13,0,1,1,0
chembl496,2,6.61,2,5.18,7.08,5.15,0,406.91,2,2,2,2,21,1,0,0,0,406.91,403.8499,1,1,40.46,0.55,0,2,0,0,1,0
chembl497,2,3.2,2,3.03,3.36,7.34,3.28,305.5,2,2,1,1,13,0,0,1,0,305.5,304.9104,0,0,33.12,0.76,0,0,0,0,1,0
chembl10878,2,2.53,2,2.04,2.04,0,0,243.31,2,3,1,1,18,0,0,1,0,243.31,243.1259,0,0,38.33,0.9,0,4,0,0,0,0
cyclophosphamide,0,1.88,0,0.1,0.1,13.48,0.02,261.09,2,4,1,1,14,0,0,1,0,261.09,260.0248,0,0,41.57,0.61,0,5,1,1,0,1
chembl498,2,1.74,1,1,1.94,3.33,0,276.75,3,5,2,2,17,1,0,0,0,276.75,276.0335,0,0,75.27,0.88,0,4,1,0,0,0
timolol maleate ophthalmic gel forming solution,1,0.5,1,-0.97,1.34,0,9.76,316.43,8,7,2,2,21,0,1,0,0,316.43,316.1569,0,0,79.74,0.79,0,6,1,0,1,0
pindolol,0,1.91,2,-0.53,1.69,0,9.67,248.33,3,4,3,3,18,0,1,0,0,248.33,248.1525,0,0,57.28,0.73,0,6,1,0,0,0
