drug,atc,chirality,alogp,aromatic rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy atoms,molecular species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,oral administration,parentreral,topical,prodrug,withdrawn flag,black_box warning,smiles,name,,,,,,,,
CHEMBL405,N06BA01_,0,1.58,1,-0.67,1.8,None,10.01,135.21,1,1,1,2,10,BASE,135.21,135.1048,0,0,26.02,0.65,Y,2,TRUE,FALSE,FALSE,0,FALSE,1,CC(N)Cc1ccccc1,Norephedrane_NSC-27159_Adzenys xr-odt_Amphetamine resin complex_Amfetamin_Amfetamine_Adzenys er_Dyanavel xr_Amphetamine_Amphetamine, dl-_Dyanavel_,,,,,,,
CHEMBL6622,C05AE02_C01DA08_C01DA58_,1,-1.06,0,-0.01,-0.01,None,None,236.14,8,10,0,0,16,NEUTRAL,236.14,236.0281,0,0,123.2,0.45,N,4,TRUE,FALSE,TRUE,1,FALSE,0,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],Isosorbide dinitrate, diluted-_Isoket 10_Isomannide-dinitrate_Imtack_Dilatrate_Sorbid-20 sa_Cedocard-5_Angitak_C01DA08_Isosorbide dinitrate_Vascardin_Isoket 5_Cedocard-10_Isocard_Isoket 20_Isordil_Sorbichew_Sorbitrate_Isomannide dinitrate_Isoket ret 20_Cedocard ret_Carvasin_Isosorbide dinitrate, diluted_Diluted-isosorbide dinitrate_Cedocard-40_Isosorbidi dinitras dilutes_Sorbid-40 sa_Isordil tembids_NSC-80038_Diluted isosorbide dinitrate rs_Cedocard_Jeridin_Iso mack_Dilatrate-sr_Cedocard-20_Isosorbidi dinitras dilutus_Diluted isosorbide dinitrate_Sorbide nitrate_Isoket ret 40_Sorbidilat_Sorbid sa_Soni-slo_,,,,,,
CHEMBL6437,N06AX03_,0,3.08,2,3.71,3.83,None,6.92,264.37,2,2,0,0,20,NEUTRAL,264.37,264.1626,0,0,6.48,0.72,N,0,FALSE,FALSE,FALSE,0,FALSE,0,CN1CCN2c3ccccc3Cc3ccccc3C2C1,Mianserin_J16.389I_Tolvon_,,,,,,,,
CHEMBL11,N06AA02_,2,3.88,2,2.48,4.28,None,9.2,280.42,2,2,0,0,21,BASE,280.42,280.1939,0,0,6.48,0.84,N,4,TRUE,TRUE,FALSE,0,FALSE,1,CN(C)CCCN1c2ccccc2CCc2ccccc21,Sermonil_Antideprin_Imipramine_Melipramine_Presamine_ORG-2463_Cristalia_Tofranil_Trimipramine maleate impurity, imipramine-_Janimine_NSC-169866_Tofranil-PM_Pramine_Berkomine_,,,,,,,
CHEMBL406,C03BA11_,0,2.08,2,2.63,2.64,8.85,0.1,365.84,4,6,2,3,24,NEUTRAL,365.84,365.0601,0,0,92.5,0.87,N,3,TRUE,FALSE,FALSE,0,FALSE,0,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,Cardide sr_NSC-757075_Ethibide xl_Indaxa 2.5_Noranat_Fludex_KYD-041_Fludin_Rawel xl_Opumide 2.5_Tensaid xl_Lorvas_Natrilix_Ipamix_Damide_Natrix_Varbim xl_Flubest_Indamol_SE-1520_Indipam xl_Flupamid_Lozol_Tandix_Indamide_Indapamide_Mapemid xl_Natrilix sr_Bajaten_Veroxil_Arifon_S-1520_Tertensif_Indaflex_Nindaxa 2.5_,,,,,,,,
CHEMBL407,V03AB25_,2,1.77,2,1.39,1.39,None,2.87,303.29,5,6,0,0,22,NEUTRAL,303.29,303.1019,0,0,64.43,0.79,N,2,FALSE,TRUE,FALSE,0,FALSE,1,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,RO-151788000_RO 15-1788/000_RO-15-1788_Anexate_Lanexat_NSC-759193_Flumazepil_RO-1722_RO-41-8157_Romazicon_Mazicon_RO-151788_Flumazenil_,,,,,,,,
CHEMBL408,A10BG01_,0,4.37,2,4.67,5.5,6.61,None,441.55,6,6,2,2,31,NEUTRAL,441.55,441.161,0,0,84.86,0.72,N,5,TRUE,FALSE,FALSE,0,TRUE,0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,CS-045_Prelay_Rezulin_GR-92132X_Romozin_GR92132X_Troglitazone_CI-991_,,,,,,,,
CHEMBL409,L02BB03_,0,2.88,2,2.71,2.71,11.78,None,430.38,5,6,2,2,29,NEUTRAL,430.38,430.061,0,0,107.26,0.56,N,5,TRUE,FALSE,FALSE,0,FALSE,0,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,ICI 176,334_Casodex_Cosudex_ICI176,334-1_Calutide_Kalumid_NSC-759816_ICI-176334_Bicalutamide_,,,,,,
CHEMBL12,N05BA01_,2,3.15,2,3.08,3.08,None,2.92,284.75,2,3,0,0,20,NEUTRAL,284.75,284.0716,0,0,32.67,0.79,N,1,TRUE,TRUE,TRUE,0,FALSE,1,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Dizac_Diastat acudial_Tranquase_Alupram 10_WY-3467_LA III_Scriptopam_Diazepam intensol_Diazepam_Diazepam civ_Vivol_Solis_Centrazepam_Valium_RO-5-2807_Relanium_RO 5-2807_Alupram 2_Dialar fte_Tranimul_Dialar_Serenack_E-Pam_NRL-1_Valclair_Atensine_Valtoco_Apozepam_Stesolid_Tensium_Valrelease_Diastat_NSC-169897_Paxel_Alupram 5_NSC-77518_Servizepam_RO-52807_Q-pam_Diacepin_Ansiolisina_Nrl-1_LA-III_,,,,,,,,
CHEMBL13,C07AB02_,0,1.61,1,-0.47,1.76,None,9.67,267.37,4,4,2,2,19,BASE,267.37,267.1834,0,0,50.72,0.71,N,9,TRUE,TRUE,FALSE,0,FALSE,1,COCCc1ccc(OCC(O)CNC(C)C)cc1,Lopressidone_Seroken_Beatrolol_Dl-metoprolol_CGP-2175_Toprol-XL_Metoprolol_(rs)-metoprolol_Metoprolol slow release_,,,,,,,,
CHEMBL411,G03CB02_G03CC05_L02AA01_,2,4.83,2,5.17,5.19,8.63,None,268.36,2,2,2,2,20,NEUTRAL,268.36,268.1463,0,0,40.46,0.78,N,4,TRUE,TRUE,TRUE,0,TRUE,0,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,Estromenin_Stilbetin_Distilbene_Estrobene_Stilbestro_Palestrol_Stilboesterol_Synestrin_Stilbestroform_Diethylstilbestrol_Stilboestrol_Stilbestrol_New-estranol 1_Synthestrin_Apstil_Cyren a_Tampovagan_Fonatol_NSC-3070_Estrogenine_,,,,,,,,
CHEMBL267936,C02BB01_,0,2.42,0,-0.67,2.37,None,10.88,167.3,1,1,1,1,12,BASE,167.3,167.1674,0,0,12.03,0.63,Y,1,TRUE,FALSE,FALSE,0,FALSE,0,CNC1(C)C2CCC(C2)C1(C)C,Mecamylamine_,,,,,,,,
CHEMBL14,N07AB01_S01EB02_,2,-0.21,0,-4.55,-4.55,None,None,182.65,2,4,1,2,10,NEUTRAL,147.2,147.1128,0,0,52.32,0.56,Y,3,FALSE,TRUE,FALSE,0,FALSE,0,C[N+](C)(C)CCOC(N)=O.[Cl-],Carbachol chloride_Carbamoylcholine chloride_Carbacholine chloride_Carbacholine Chloride_Miostat_NSC-32865_Carbastat_Carbachol_Doryl_,,,,,,,,
CHEMBL16,N03AB02_N03AB52_,2,1.97,2,1.07,2.63,5.86,None,252.27,2,4,2,2,19,ACID,252.27,252.0899,0,0,61.69,0.86,N,2,TRUE,FALSE,FALSE,0,FALSE,0,O=C1N=C(O)NC1(c1ccccc1)c1ccccc1,Phenytoinum_Epamin_Phenytex_Zentropil_Dilabid_NSC-8722_Hydantol_Phenytoin_Lepitoin_Dilantin-125_Dilantin_Phentytoin_Dilantin-30_SM-88 COMPONENT PHENYTOIN_Phenytek_Diphenylhydantoin_,,,,,,,,
CHEMBL413,L04AA10_S01XA23_,1,6.18,0,7.45,7.45,9.96,None,914.19,13,14,3,3,65,NEUTRAL,914.19,913.5551,3,3,195.43,0.16,N,6,TRUE,FALSE,FALSE,0,FALSE,1,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,SM-88 COMPONENT SIROLIMUS_Npc-12g_Rapamune_WY-090217_NSC-226080_AY-22989_L04AA10_Sirolimus_Rapamycin_Rapalimus_,,,,,,,,
CHEMBL269732,,1,4.64,0,5.59,5.59,9.96,None,804.03,12,13,3,3,57,NEUTRAL,804.03,803.482,2,2,178.36,0.18,N,7,TRUE,TRUE,TRUE,0,FALSE,1,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,FK506_FR-900506_Tacrolimus_FK-506_NSC-758659_Prograf_Tacrolimus monohydrate_Protopic_,,,,,,,,
CHEMBL415,N06AA04_,2,4.53,2,3.09,4.88,None,9.2,314.86,2,2,0,0,22,BASE,314.86,314.155,0,0,6.48,0.82,N,4,TRUE,FALSE,FALSE,0,FALSE,1,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,Clomipramine_Clomicalm_NSC-169865_Chlorimipramine_Anafranil_3-chloro-iminodibenzyl_Anapramine_,,,,,,,,
CHEMBL416,D05BA02_D05AD02_,2,2.55,3,1.78,1.78,None,None,216.19,4,4,0,0,16,NEUTRAL,216.19,216.0423,0,0,52.58,0.59,N,1,TRUE,TRUE,TRUE,0,FALSE,1,COc1c2occc2cc2ccc(=O)oc12,8-mop_Oxypsoralen_Puvasoralen-8_Metoxalen_Vitpso_Meladinine_8-methoxsalen_SM-88 COMPONENT METHOXSALEN_Oxsoralen_NSC-45923_Xanthotoxin_Methoxsalen_Oxsoralen-ultra_Puvalen_Deltasoralen_Uvadex_8-methoxypsoralen_,,,,,,,,
CHEMBL17,S01EC02_,2,0.29,1,0.29,0.39,7.94,None,305.16,4,6,2,4,16,NEUTRAL,305.16,303.9146,0,0,120.32,0.82,N,2,TRUE,FALSE,FALSE,0,FALSE,0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,Oratrol_Daranide_Keveyis_Diclofenamide_Dichlorphenamide_,,,,,,,,
CHEMBL18,,2,1.34,2,1.39,1.6,7.51,None,258.32,5,5,1,2,16,NEUTRAL,258.32,258.0133,0,0,82.28,0.9,N,3,TRUE,FALSE,FALSE,0,FALSE,0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,Ethoxzolamide_Ethamide_NSC-10679_Cardrase_,,,,,,,,
CHEMBL417,L01DB03_,1,0,2,0.1,0.53,8,9.03,543.53,12,12,6,7,39,BASE,543.53,543.1741,3,3,206.07,0.24,N,5,FALSE,TRUE,FALSE,0,FALSE,1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,NSC-256942_Farmorubicin_Epidoxorubicin_Epirubicin_Epiadriamycin_4'-epi-adriamycin_Ellence_,,,,,,,,
CHEMBL19,S01EC05_,2,-1.42,1,-0.93,-0.59,7.21,None,236.28,6,7,1,2,14,NEUTRAL,236.28,236.0038,0,0,107.41,0.64,N,1,TRUE,FALSE,FALSE,0,FALSE,0,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,Methenamide_NSC-758426_L-584601_Neptazaneat_VVP-808_Methazolamide_VVP808_Neptazane_,,,,,,,,
CHEMBL20,S01EC01_,2,-0.86,1,-2.08,-1.04,6.55,None,222.25,6,7,2,3,13,NEUTRAL,222.25,221.9881,0,0,115.04,0.63,N,2,TRUE,TRUE,FALSE,0,FALSE,0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,NSC-145177_Diamox sr_Nephramide_Glaupax_Eytazox_L 579486_Acetazolamidum_Phonurit_Donmox_Atenezo_Acetazolamide_Diamox_Acetamox_Edemox_Defiltran_Didoc_Diuriwas_,,,,,,,,
CHEMBL419,D06BA03_,2,-0.21,1,-1.96,-0.52,10.25,9.04,186.24,3,4,2,4,12,BASE,186.24,186.0463,0,0,86.18,0.67,N,2,FALSE,FALSE,TRUE,0,FALSE,0,NCc1ccc(S(N)(=O)=O)cc1,NSC-34632_Mafenide_Sulfamylon_D06BA03_4-homosulfanilamide_,,,,,,,,
CHEMBL21,D06BA05_J01EB06_,2,-0.08,1,-0.25,-0.25,10.99,2.27,172.21,3,4,2,4,11,NEUTRAL,172.21,172.0306,0,0,86.18,0.58,N,1,FALSE,FALSE,TRUE,0,FALSE,0,Nc1ccc(S(N)(=O)=O)cc1,P-aminobenzenesulfonamide_Sulphanilamidum_Sulfanilamide_Streptocid_Prontylin_Prontosil i_Sulfonamide_NSC-7618_Aniline-p-sulfonic amide_P-aminobenzenesulfamide_Sulfamine_,,,,,,,,
CHEMBL420,,2,1.81,1,1.34,2.18,None,8.18,231.09,2,4,3,4,14,NEUTRAL,231.09,230.0126,0,0,74.26,0.41,N,2,TRUE,FALSE,FALSE,0,FALSE,0,N=C(N)N/N=C/c1c(Cl)cccc1Cl,NSC-68982_Guanabenz_WY-8678_,,,,,,,,
CHEMBL22,J01EA01_,2,1.26,2,1.1,1.28,None,7.16,290.32,7,7,2,4,21,NEUTRAL,290.32,290.1379,0,0,105.51,0.85,N,5,TRUE,TRUE,TRUE,0,FALSE,0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,Polytrim_NSC-106568_Ipral_Trimpex_Trimopan_Trimethoprim_Wellcoprim_Trimethoprimum_Ledatrim_Tiempe_Proloprim_BW-56-72_Primsol_Triprimix 200_BW 56-72_Syraprim_NIH-204_Monotrim_Trimogal_Infectotrimet_Trimpex 200_Proloprin_TCMDC-125538_,,,,,,,,
CHEMBL6966,C08DA01_C08DA51_,0,5.09,2,2.79,5.04,None,9.68,454.61,6,6,0,0,33,BASE,454.61,454.2832,1,1,63.95,0.42,N,13,TRUE,TRUE,FALSE,0,FALSE,0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,Verapamil slow release_Isoptin_NSC-272306NA_CP-165331_Iproveratril_Verapamil_Covera-HS_Verelan_Calan_D-365_Tarka_CP-16533-1_CP-16,533-1_,,,,,,,
CHEMBL421,A07EC01_,2,3.7,3,0.25,4.25,3.23,0.55,398.4,7,9,3,3,28,ACID,398.4,398.0685,0,0,141.31,0.54,N,6,TRUE,FALSE,FALSE,1,FALSE,0,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Ucine_Salazopyrin_Azulfidine en-tabs_Salazopyrin e.c._NSC-203730_Azulfidine EN_Benzosulfa_SAS-500_Sulfasalazinum_Colizine_Sulfasalazopyridine_Salazopyrin-en_Sulphasalazine_NSC-667219_Salicylazosulfapyridine_S.a.s.-500_Azulfidine_Sulfasalazine_S.a.s._Salazosulfapyridine_,,,,,,,,
CHEMBL6466,,2,1.79,2,1.78,1.78,None,None,146.14,2,2,0,0,11,NA,146.14,146.0368,0,0,30.21,0.53,Y,0,FALSE,FALSE,FALSE,0,FALSE,0,O=c1ccc2ccccc2o1,Cumarin_Tonka bean camphor_Nci-c07103_Coumarinum_O-hydroxycinnamic acid lactone_NSC-8774_Lodema_Coumarin (prohibited)_Coumarin_1,2-benzopyrone_Coumarinic lactone_Cis-o-coumarinic acid lactone_,,,,,,,
CHEMBL23,C05AE03_C08DB01_,1,3.37,2,1.89,2.73,12.86,8.18,414.53,6,6,0,0,29,NEUTRAL,414.53,414.1613,0,0,59.08,0.68,N,6,TRUE,TRUE,FALSE,0,FALSE,0,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,Ditiaz_Diltiazem extended release_Cardizem_Tiazac_Diltzac_Diltiazem_Tiamate_Dilt-CD_Surazem_,,,,,,,,
CHEMBL24,C07AB03_,0,0.45,1,-1.8,0.43,None,9.67,266.34,4,5,3,4,19,BASE,266.34,266.163,0,0,84.58,0.64,N,8,TRUE,TRUE,FALSE,0,FALSE,1,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,Tenormin 25_Ibinolo_Corotenol_Juvental_Atenololum_Duraatenolol_Myocord_Antipressan_Urosin_Unibloc_NSC-757832_Atenix-25_Novaten_Betacard_ICI 66082_Kentol_C07AB03_Totamol_Prenormine_Atenix-100_Tenormin_Atenolol_ICI 66,082_Tenormin l.s._ICI-66082_Vasaten_Atenix-50_Esatenolol_Atenamin_,,,,,,,
CHEMBL25,B01AC06_N02BA01_N02BA51_A01AD05_N02BA71_,2,1.31,1,-2.16,1.24,3.41,None,180.16,3,4,1,1,13,ACID,180.16,180.0423,0,0,63.6,0.55,N,2,TRUE,FALSE,FALSE,0,FALSE,0,CC(=O)Oc1ccccc1C(=O)O,Benzoic acid, 2-(acetyloxy)-_Enprin_Vazalore_Acetylsalicylic acid (who-ip)_Danamep_Nu-seals 600_Disprin direct_Nu-seals 300_Alka rapid_Acetylsalicylicum acidum_Angettes 75_BAY1019036_8-hour bayer_Ecotrin_Disprin cv_Acetylsalicylic acid_Postmi 300_Postmi 75_Salicylic Acid Acetate_Acidum acetylsalicylicum_NSC-27223_Paynocil_Max strgh aspro clr_Equi-Prin_Gencardia_Levius_Acetylsalicylic Acid_Nu-seals 75_Bayer extra strength aspirin for migraine pain_Anadin all night_Aspro clr_Aspirin_Acetylsalic acid_NSC-406186_Nu-seals cardio 75_Acetyl salicylate_Measurin_Micropirin ec_Durlaza_Platet 300_Platet_Acetosalic Acid_,,,,,,,
CHEMBL422,N05AB06_,2,4.95,2,3.97,4.66,None,7.99,407.51,4,3,0,0,28,NEUTRAL,407.51,407.1643,0,0,9.72,0.71,N,4,TRUE,TRUE,FALSE,0,FALSE,1,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,NSC-17474_Stelazine fte_Amylozine_NSC-46061_RP-7623_Flurazine_Trifluoperazine_Apo-trifluoperazine_Stelazine_,,,,,,,,
CHEMBL26,N05AL01_,0,0.56,1,-0.7,0.22,10.24,8.39,341.43,5,7,2,3,23,NEUTRAL,341.43,341.1409,0,0,101.73,0.79,N,6,FALSE,FALSE,FALSE,0,FALSE,0,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,RD-1403_N05AL01_NSC-757850_Dolmatil_Sulpiride_Dogmatyl_,,,,,,,,
CHEMBL423,S01ED52_C07AB05_S01ED02_,0,2.39,1,0.31,2.54,None,9.67,307.43,4,4,2,2,22,BASE,307.43,307.2147,0,0,50.72,0.62,N,11,TRUE,FALSE,TRUE,0,FALSE,0,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,Betaxolol_Betoptic susp_Kerlone_ALO-140102 FREE BASE_SL-7521210 FREE BASE_Kerledex_Betoptic_,,,,,,,,
CHEMBL424,S01BC08_D01AE12_,2,1.09,1,-1.52,1.98,2.79,None,138.12,2,3,2,2,10,ACID,138.12,138.0317,0,0,57.53,0.61,Y,1,FALSE,FALSE,FALSE,0,FALSE,0,O=C(O)c1ccccc1O,Compound v_Dr. scholl's callus removers_Dr. scholl's corn removers_Edinburgh_Salicylic acid soap_Phytocil_Advanced pain relief callus removers_Bazuka_Salicylic acid rs_Dr. scholl's wart remover kit_Ionil-plus_Occlusal_Compound w_Stri-dex_Verrugon_Advanced pain relief com removers_Erytex_Metanium_Pyralvex_Toepedo_Salactol_FEMA NO. 3985_Lamivudine impurity, salicylic acid-_Posalfilin_Duofilm_Salicylic Acid_Acnisal_NSC-180_Duofilm wart remover_Freezone_Clear away wart remover_Jadit_K-557_Salicylic acid_Necol_Saligel_Thwart_Noxacorn_Wartex_Salatac_Cuplex verruca_Phytex_2-Hydroxy-benzoic acid_Keralyt_Duoplant_Lamivudine related compound salicylic acid_Ionil_Phiso-clear_Gppe paint_,,,,,,,
CHEMBL425,A07EC03_,2,2.91,2,-2.49,4.39,2.93,None,302.24,6,8,4,4,22,ACID,302.24,302.0539,0,0,139.78,0.64,N,4,TRUE,FALSE,FALSE,1,FALSE,0,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,Olsalazine_Dipentum_C. i. mordant yellow 5_,,,,,,,,
CHEMBL27,C07AA05_,0,2.58,2,0.36,2.58,None,9.67,259.35,3,3,2,2,19,BASE,259.35,259.1572,0,0,41.49,0.84,N,6,TRUE,TRUE,FALSE,0,FALSE,1,CC(C)NCC(O)COc1cccc2ccccc12,Dl-propranolol_Inderide-80/25_Inderide-40/25_Inderal_Propranolol_AY-64043-_Euprovasin_Betalong_Proprasylyt_Reducor_.beta.-propranolol_,,,,,,,,
CHEMBL6995,C07AB01_,0,1.38,1,-1.39,0.83,None,9.67,266.34,4,5,3,3,19,BASE,266.34,266.163,0,0,70.59,0.7,N,7,FALSE,FALSE,FALSE,0,FALSE,0,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,AY-21,011_AY-21011_I.C.I. 50,172_I.C.I.-50,172_[3-(4-Acetylamino-Phenoxy)-2-Hydroxy-Propyl]-Isopropyl-Ammonium_Eraldin_Practolol_Dalzic_ICI-50172_,,,,,
CHEMBL427,L01AA05_,2,1.4,0,1.5,1.52,None,6.08,156.06,1,1,0,0,8,NEUTRAL,156.06,155.0269,0,0,3.24,0.56,N,4,FALSE,TRUE,TRUE,0,FALSE,1,CN(CCCl)CCCl,Mechlorethamine_NSC-757087_NSC-128663_Nitrogen mustard (hn 2)_Chlorethazine_Mustargen_Chlormethine_NSC-10107_,,,,,,,,
