,drug,withdrawn,withdrawn_cards,withdrawn_liver,withdrawn_neuro,ATC_cards,ATC_liver,ATC_neuro,smiles
81,chembl1909286,1,0,1,0,0,0,0,CC(COc1ccccc1)NN
82,chembl1909288,1,0,1,0,0,0,0,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1
83,chembl1909289,1,0,1,0,0,0,0,CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1
84,chembl1740513,1,0,1,0,0,0,0,CC(C)Nc1ncccn1
85,chembl1742471,1,0,1,0,0,0,0,NC(N)=Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1
86,chembl2104136,1,0,1,0,0,0,0,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21.O=P(O)(O)O
87,chembl2105740,1,0,1,0,0,0,0,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)[N-]c1onc(C)c1Cl)OCO2.[Na+]
88,chembl2107495,1,0,1,0,0,0,0,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1.Cl
89,chembl2355333,1,0,1,0,0,0,0,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1.Cl.Cl.O
90,chembl3183453,1,0,1,0,0,0,0,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+]
91,chembl268164,1,0,0,1,0,0,1,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
92,chembl447,1,0,0,1,0,0,1,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
93,chembl448,1,0,0,1,0,0,1,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
94,chembl497,1,0,0,1,0,0,0,Oc1c(I)cc(Cl)c2cccnc12
95,chembl13280,1,0,0,1,0,0,1,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
96,chembl101,1,0,0,1,0,0,0,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
97,chembl111,1,0,0,1,0,0,0,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
98,chembl282052,1,0,0,1,0,0,1,Cc1ccccc1-n1c(C)nc2ccccc2c1=O
99,chembl646,1,0,0,1,0,0,1,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
100,chembl278819,1,0,0,1,0,0,1,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1
101,chembl418995,1,0,0,1,0,0,1,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21
102,chembl127516,1,0,0,1,0,0,0,CCCCOC(=O)c1ccc(N)cc1
103,chembl346235,1,0,0,1,0,0,0,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1.Cl.Cl
104,chembl201960,1,0,0,1,0,0,0,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1
105,chembl1184360,1,0,0,1,0,0,0,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1
106,chembl1364551,1,0,0,1,0,0,0,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1.Cl.Cl
107,chembl1418176,1,0,0,1,0,0,0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
108,chembl1697760,1,0,0,1,0,0,0,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O
109,chembl1950576,1,0,0,1,0,0,0,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O
110,chembl1998966,1,0,0,1,0,0,0,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1
111,chembl2104607,1,0,0,1,0,0,0,CCN(CC)C(=O)c1cccnc1
112,chembl2104793,1,0,0,1,0,0,0,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1.Cl
113,chembl2105581,1,0,0,1,0,0,1,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC
114,chembl2105941,1,0,0,1,0,0,0,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+]
115,chembl2106556,1,0,0,1,0,0,0,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
116,chembl2106829,1,0,0,1,0,0,0,Cc1ccccc1-n1c(C)nc2ccccc2c1=O.Cl
117,chembl3142541,1,0,0,1,0,0,0,CCCCOC(=O)c1ccc(N)cc1.CCCCOC(=O)c1ccc(N)cc1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
118,chembl3188576,1,0,0,1,0,0,0,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O
1208,chembl411,1,0,0,0,0,0,0,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
1209,chembl437,1,0,0,0,0,0,0,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
1210,chembl268869,1,0,0,0,0,0,0,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
1211,chembl464,1,0,0,0,0,0,0,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
1212,chembl412873,1,0,0,0,1,0,0,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1
1213,chembl16073,1,0,0,0,0,0,1,CCOc1ccc(NC(C)=O)cc1
1214,chembl15677,1,0,0,0,0,0,0,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl
1215,chembl276520,1,0,0,0,0,0,0,c1ccc2c(CCC3CCNCC3)c[nH]c2c1
1216,chembl15870,1,0,0,0,0,0,0,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
1217,chembl16080,1,0,0,0,0,0,0,CC(Cl)(Cl)Cl
1218,chembl16476,1,0,0,0,0,0,0,CC(C)NCC(O)c1ccc2ccccc2c1
1219,chembl19490,1,0,0,0,0,0,0,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1
1220,chembl21869,1,0,0,0,0,0,0,O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O
1221,chembl24944,1,0,0,0,0,0,0,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
1222,chembl22242,1,0,0,0,0,0,1,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
1223,chembl752,1,0,0,0,0,0,0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
1224,chembl772,1,0,0,0,0,0,0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
1225,chembl290106,1,0,0,0,0,0,0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
1226,chembl32800,1,0,0,0,0,0,0,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
1227,chembl39736,1,0,0,0,0,0,0,CCCCNC(=N)NC(=N)N
1228,chembl288470,1,0,0,0,0,0,1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
1229,chembl44618,1,0,0,0,0,0,1,ClC(Cl)Cl
1230,chembl869,1,0,0,0,0,0,0,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
1231,chembl53292,1,0,0,0,0,0,0,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1
1232,chembl53418,1,0,0,0,0,0,0,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21
1233,chembl54976,1,0,0,0,0,0,1,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
1234,chembl291338,1,0,0,0,0,0,0,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O
1235,chembl956,1,0,0,0,0,0,0,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
1236,chembl62193,1,0,0,0,0,0,0,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
1237,chembl70046,1,0,0,0,0,0,0,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br
1238,chembl73234,1,0,0,0,0,0,0,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
1239,chembl311498,1,0,0,0,0,0,0,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
1240,chembl94081,1,0,0,0,0,0,0,C=CCOc1ccc(CC(=O)O)cc1Cl
1241,chembl316561,1,0,0,0,0,0,0,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1
1242,chembl110691,1,0,0,0,0,0,0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
1243,chembl1228,1,0,0,0,0,0,0,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
1244,chembl146095,1,0,0,0,0,0,1,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
1245,chembl345524,1,0,0,0,0,0,0,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12
1246,chembl1291,1,0,0,0,0,0,0,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C
1247,chembl170988,1,0,0,0,0,0,0,N=C(N)NC(=N)NCCc1ccccc1
1248,chembl187709,1,0,0,0,0,0,0,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1
1249,chembl395110,1,0,0,0,0,0,0,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
1250,chembl1477,1,0,0,0,0,0,0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
1251,chembl462547,1,0,0,0,0,0,0,CCOC(N)=O
1252,chembl461522,1,0,0,0,0,0,0,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
1253,chembl522038,1,0,0,0,0,0,0,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1
1254,chembl1165342,1,0,0,0,0,0,0,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32
1255,chembl1200359,1,0,0,0,0,0,0,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
1256,chembl1200549,1,0,0,0,0,0,0,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1.[Br-]
1257,chembl1200563,1,0,0,0,0,0,0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]
1258,chembl1200731,1,0,0,0,0,0,0,[Cl-].[K+]
1259,chembl1200947,1,0,0,0,0,0,0,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C.Cl
1260,chembl1201071,1,0,0,0,0,0,0,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.O=P(O)(O)O
1261,chembl1201201,1,0,0,0,0,0,1,CN[C@@H](C)Cc1ccccc1
1262,chembl1201352,1,0,0,0,0,0,0,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1
1263,chembl1255739,1,0,0,0,0,0,0,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl
1264,chembl1256696,1,0,0,0,0,0,0,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O
1265,chembl1411979,1,0,0,0,0,0,0,CN(C)CCN(Cc1cccs1)c1ccccn1
1266,chembl1447476,1,0,0,0,0,0,0,[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-]
1267,chembl1452696,1,0,0,0,0,0,0,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
1268,chembl1463345,1,0,0,0,0,0,0,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1
1269,chembl1528839,1,0,0,0,0,0,0,Cl.N=C(N)NC(=N)NCCc1ccccc1
1270,chembl1551365,1,0,0,0,0,0,0,CCON=O
1271,chembl1697856,1,0,0,0,0,0,1,CCOc1ccc(NC(=O)CC(C)O)cc1
1272,chembl1712842,1,0,0,0,0,0,0,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
1273,chembl1801800,1,0,0,0,0,0,0,O=C(Nc1ccccc1)c1cc(Br)cc(Br)c1O
1274,chembl1874750,1,0,0,0,0,0,0,COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC
1275,chembl1908307,1,0,0,0,1,0,0,Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21
1276,chembl1909072,1,0,0,0,0,0,0,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
1277,chembl2104489,1,0,0,0,0,0,0,CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C
1278,chembl2104537,1,0,0,0,0,0,0,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC
1279,chembl2105233,1,0,0,0,0,0,1,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
1280,chembl2105345,1,0,0,0,0,0,1,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1
1281,chembl2105458,1,0,0,0,0,0,0,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1
1282,chembl2105527,1,0,0,0,0,0,0,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21
1283,chembl2106915,1,0,0,0,0,0,0,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2
1284,chembl2107253,1,0,0,0,0,0,0,COc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(OC)n1.[Na+]
1285,chembl2303617,1,0,0,0,0,0,0,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1.O.O.O.O.O.O=S(=O)(O)O
1286,chembl2311071,1,0,0,0,0,0,0,C=CCl
1287,chembl3187246,1,0,0,0,0,0,0,CN(C)CCN(Cc1cccs1)c1ccccn1.CN(C)CCN(Cc1cccs1)c1ccccn1.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O
1288,chembl3301670,1,0,0,0,0,0,0,CN(C)CC(C)(C)OC(=O)C(O)(c1ccccc1)c1ccccc1.Cl
1289,chembl3304486,1,0,0,0,0,0,0,CN(C)CC(C)(C)OC(=O)C(O)(c1ccccc1)c1ccccc1
1290,chembl3989403,1,0,0,0,0,0,0,Cc1cc(CC(=O)[O-])n(C)c1C(=O)c1ccc(Cl)cc1.O.O.[Na+]
1291,chembl3989556,1,0,0,0,0,0,0,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC.Cl.O
1292,chembl3989676,1,0,0,0,0,0,0,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O.O
1293,chembl3989803,1,0,0,0,0,0,1,Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+]
